name,mapping,type,description,nullable,defaultValue,masking type
IsAnonymous,IsAnonymous,long,IsAnonymous,FALSE,,none
IsLogical,IsLogical,int,IsLogical,FALSE,,none
PathTypeID,PathTypeID,string,PathTypeID,FALSE,-1,none
SequenceTypeID,SequenceTypeID,int,SequenceTypeID,FALSE,300,none
PreviousChannelTypeID,PreviousChannelTypeID,int,PreviousChannelTypeID,FALSE,,none
SessionID,SessionID,long,SessionID,FALSE,,none
ChannelTypeID,ChannelTypeID,int,ChannelIdType,FALSE,,none
IVREventActivityPathID,IVREventActivityPathID,string,IVREventActivityPathID,TRUE,,none
SequenceID,SequenceID,string,SequenceID,FALSE,-1,none
PlaceInSequence,PlaceInSequence,int,PlaceInSequence,FALSE,0,none
SessionNumericContactReasons,SessionNumericContactReasons,long,The numeric value of the contact reasons of the session,FALSE,,none
SessionContactReasons,SessionContactReasons,string,The list of the contact reasons of the session,FALSE,,none
SessionStartTimeUTC,SessionStartTimeUTC,date,UTC Session Start Time,FALSE,,none
SessionEndTimeUTC,SessionEndTimeUTC,date,UTC Session End Time,FALSE,,none
SessionDuration,SessionDuration,duration,SessionDuration,FALSE,,none
LastSessionInSequence,LastSessionInSequence,long,is the last session in sequence,FALSE,0,none
AgentID,AgentID,long,AgentID,FALSE,0,none
UnifiedAdminGroup,UnifiedAdminGroup,long,UnifiedAdminGroup,FALSE,-1,none
DateID,DateID,long,session start time in the format of YYYYMMDD,FALSE,,none
SessionSystemID,SessionSystemID,int,SessionSystemID,FALSE,,none
NumberOfEvents,NumberOfEvents,long,the number of events of the session,FALSE,,none
NextSessionID,NextSessionID,long,NextSessionID,FALSE,,none
NextSessionSystemID,NextSessionSystemID,int,NextSessionSystemID,FALSE,,none
NextSessionNumericContactReasons,NextSessionNumericContactReasons,long,The numeric value of the contact reasons of the next session,FALSE,,none
NextSessionContactReasons,NextSessionContactReasons,string,The list of the contact reasons of the next session,TRUE,,none
NextSessionStartTimeUTC,NextSessionStartTimeUTC,date,UTC Start Time of the next session,FALSE,,none
NextSessionEndTimeUTC,NextSessionEndTimeUTC,date,UTC End Time of the next session,FALSE,,none
NextSessionDuration,NextSessionDuration,duration,NextSessionDuration,FALSE,,none
NextChannelTypeID,NextChannelTypeID,int,NextChannelTypeID,FALSE,,none
NextDateID,NextDateID,long,next session start time in the format of YYYYMMDD,FALSE,,none
TimeInterval,TimeInterval,long,TimeInterval,FALSE,,none
Master_BAN,Master_BAN,string,MasterBAN,FALSE,0,HASH
PlatformCustomerID,PlatformCustomerID,string,PlatformCustomerID,FALSE,,HASH
IsSessionNCP,IsSessionNCP,long,is the session ncp,FALSE,,none
IsSessionFCR,IsSessionFCR,long,is the session fcr,FALSE,,none
IsSequenceNCP,IsSequenceNCP,long,is the sequence ncp,FALSE,0,none
IsSequenceFCR,IsSequenceFCR,long,is the sequence fcr,FALSE,0,none
IsSequenceRepeated,IsSequenceRepeated,long,is the sequence repeated,FALSE,0,none
IsSequenceSelfService,IsSequenceSelfService,long,is the sequence self service,FALSE,0,none
PlaceInSequenceByChannel,PlaceInSequenceByChannel,int,PlaceInSequenceByChannel,FALSE,0,none
FirstDateID,FirstDateID,long,first session start time in the format of YYYYMMDD,FALSE,,none
LifeCycleID,LifeCycleID,long,Session LifeCycle ID,FALSE,,none
DynamicAttribute1,TelcoSharedaccdimBothRefdataAccountSpendingLimitYnFlagSession,long,,TRUE,,none
DynamicAttribute2,TelcoIvrRefdataAffiliateSubscriberCSAIndicatorTFFlag,long,,TRUE,,none
DynamicAttribute3,TelcoIvrRefdataCompletedTransferToCsrYnFlag,long,,TRUE,,none
DynamicAttribute4,TelcoSharedaccdimBothRefdataLiabilityIndicatorSession,long,,TRUE,,none
DynamicAttribute5,SharedSession_CalculatedRefData_Any2Any_Repeat_In_30_Days,long,,TRUE,,none
DynamicAttribute6,SharedSession_CalculatedRefData_Any2Any_Repeat_In_48_Hours,long,,TRUE,,none
DynamicAttribute7,SharedSession_CalculatedRefData_Any2Any_Repeat_In_7_Days,long,,TRUE,,none
DynamicAttribute8,SharedSession_CalculatedRefData_Any2Same_Repeat_In_30_Days,long,,TRUE,,none
DynamicAttribute9,SharedSession_CalculatedRefData_Any2Same_Repeat_In_48_Hours,long,,TRUE,,none
DynamicAttribute10,SharedSession_CalculatedRefData_Any2Same_Repeat_In_7_Days,long,,TRUE,,none
DynamicAttribute11,SharedSession_CalculatedRefData_Any2Voice_Repeat_In_30_Days,long,,TRUE,,none
DynamicAttribute12,SharedSession_CalculatedRefData_Any2Voice_Repeat_In_48_Hours,long,,TRUE,,none
DynamicAttribute13,SharedSession_CalculatedRefData_Any2Voice_Repeat_In_7_Days,long,,TRUE,,none
DynamicAttribute14,"SharedSurvey_RefData_Survey_Sat_Score
TelcoSurveyRefdataSurveySatScoreSession",long,,TRUE,,none
DynamicAttribute15,"SharedSurvey_RefData_Survey_WTR_Score
TelcoSurveyRefdataSurveyWtrScoreSession",long,,TRUE,,none
DynamicAttribute16,TelcoSurveyRefdataSurveyTypeSession,long,,TRUE,,none
DynamicAttribute17,Not in use,long,,TRUE,,none
DynamicAttribute18,SharedChurn_RefData_Journey_Request_PIC_14_Failure_YN_Flag,long,,TRUE,,none
DynamicAttribute19,IVR_fromVoice_RefData_Hold_Time_Bin,long,,TRUE,,none
